@relation electricity-weka.filters.uns1ervised.attribute.Normalize-S1.0-T0.0-weka.filters.uns1ervised.attribute.ReplaceMissingValues-weka.filters.uns1ervised.attribute.Remove-R1-weka.filters.uns1ervised.attribute.Remove-R3-weka.filters.uns1ervised.attribute.Remove-R4
@attribute period numeric
@attribute nswdemand numeric
@attribute vicdemand numeric
@attribute transfer numeric
@attribute class {1,0}


@data
0.957447,0.453585,0.38115,0.40307,0
0.978723,0.474264,0.49275,0.29693,1
1,0.472181,0.478509,0.339912,1
0,0.438709,0.425168,0.369298,0
0.021277,0.428741,0.397721,0.358333,0
0.042553,0.395864,0.43941,0.294737,0
0.06383,0.327135,0.408338,0.360965,0
0.085106,0.275811,0.357846,0.329825,0
0.106383,0.224189,0.306059,0.366667,0
0.12766,0.174353,0.261523,0.355702,0
0.148936,0.147873,0.221129,0.364474,0
0.170213,0.127194,0.204816,0.423684,0
0.191489,0.118417,0.185914,0.439912,0
0.212766,0.124219,0.183325,0.448246,0
0.234043,0.139393,0.191352,0.474123,0
0.255319,0.165129,0.21362,0.39386,0
0.276596,0.202172,0.233817,0.366228,0
0.297872,0.248289,0.228897,0.481579,0
0.319149,0.323862,0.274469,0.491228,1
0.340426,0.392294,0.320818,0.469298,0
0.361702,0.440048,0.348006,0.475877,1
0.382979,0.492115,0.374417,0.457895,1
0.404255,0.508926,0.372346,0.454386,1
0.425532,0.502083,0.362248,0.520175,1
0.446809,0.481107,0.353703,0.483772,1
0.468085,0.469652,0.344899,0.50614,1
0.489362,0.455073,0.339979,0.480263,1
0.510638,0.443172,0.32755,0.492982,1
0.531915,0.428295,0.324702,0.54386,1
0.553191,0.413567,0.328068,0.602193,1
0.574468,0.388724,0.315381,0.611842,1
0.595745,0.378161,0.312532,0.566667,1
0.617021,0.369087,0.312273,0.585965,1
0.638298,0.369384,0.294407,0.621053,1
0.659574,0.368938,0.292336,0.623246,1
0.680851,0.382922,0.287934,0.659649,1
0.702128,0.405534,0.318747,0.580263,1
0.723404,0.420857,0.340238,0.499123,1
0.744681,0.489884,0.38348,0.448684,1
0.765957,0.535257,0.453133,0.354386,1
0.787234,0.536894,0.477991,0.329386,1
0.808511,0.494793,0.459865,0.294298,1
0.829787,0.460726,0.429052,0.363158,1
0.851064,0.429783,0.409373,0.422368,1
0.87234,0.415799,0.394355,0.424561,1
0.893617,0.395269,0.366908,0.449123,1
0.914894,0.376376,0.354738,0.413596,0
0.93617,0.403749,0.345676,0.425,1
0.957447,0.401369,0.344122,0.432895,0
0.978723,0.401964,0.422838,0.354386,1
1,0.376525,0.422838,0.339035,0
0,0.346474,0.414811,0.365789,1
0.021277,0.308688,0.388141,0.367544,0
0.042553,0.268075,0.441222,0.309649,1
0.06383,0.229545,0.409373,0.350877,1
0.085106,0.193395,0.369239,0.402193,0
0.106383,0.153377,0.322631,0.489912,0
0.12766,0.131211,0.279907,0.557018,0
0.148936,0.107111,0.250129,0.548246,0
0.170213,0.093573,0.219575,0.544737,0
0.191489,0.090598,0.192905,0.558333,0
0.212766,0.094168,0.17711,0.573684,0
0.234043,0.105475,0.170378,0.582018,0
0.255319,0.122285,0.169083,0.520175,0
0.276596,0.152782,0.171414,0.578947,0
0.297872,0.194585,0.149404,0.641667,0
0.319149,0.263761,0.180735,0.644737,0
0.340426,0.319697,0.220352,0.598684,0
0.361702,0.370574,0.255308,0.647368,0
0.382979,0.409551,0.274987,0.61886,1
0.404255,0.429485,0.292077,0.67807,1
0.425532,0.422047,0.293889,0.625439,0
0.446809,0.399583,0.297255,0.605263,0
0.468085,0.378012,0.288193,0.602193,0
0.489362,0.354656,0.290005,0.601316,1
0.510638,0.335614,0.282755,0.620175,1
0.531915,0.307349,0.284827,0.572807,0
0.553191,0.284737,0.289487,0.539912,0
0.574468,0.262273,0.282237,0.558772,0
0.595745,0.245463,0.271103,0.573246,0
0.617021,0.234157,0.261005,0.582895,0
0.638298,0.235347,0.258933,0.576316,0
0.659574,0.232669,0.25971,0.583772,0
0.680851,0.247545,0.263076,0.573246,0
0.702128,0.268521,0.280166,0.549561,0
0.723404,0.289497,0.309166,0.545614,0
0.744681,0.371318,0.356551,0.463596,0
0.765957,0.477834,0.424909,0.405702,1
0.787234,0.498364,0.444847,0.441667,1
0.808511,0.486462,0.435267,0.471491,1
0.829787,0.464891,0.413516,0.532018,1
0.851064,0.452395,0.407043,0.503947,1
0.87234,0.443618,0.385552,0.560088,1
0.893617,0.41565,0.359399,0.550877,1
0.914894,0.382178,0.33506,0.512281,1
0.93617,0.397947,0.316675,0.572368,1
0.957447,0.382773,0.306059,0.500877,0
0.978723,0.381583,0.393061,0.380702,1
1,0.355698,0.386069,0.41886,1
0,0.33978,0.373382,0.494298,1
0.021277,0.304522,0.343345,0.517105,1
0.042553,0.282356,0.409114,0.477632,1
0.06383,0.250074,0.39073,0.496491,1
0.085106,0.225082,0.35914,0.549561,1
0.106383,0.19399,0.326256,0.591667,1
0.12766,0.16989,0.293371,0.627632,0
0.148936,0.157691,0.263594,0.651316,0
0.170213,0.148914,0.244174,0.66886,0
0.191489,0.156501,0.234593,0.695614,0
0.212766,0.193841,0.244692,0.704825,0
0.234043,0.252752,0.272139,0.651754,0
0.255319,0.358227,0.353444,0.597368,1
0.276596,0.468611,0.432936,0.528509,1
0.297872,0.486611,0.473848,0.412719,1
0.319149,0.544183,0.547903,0.298246,1
0.340426,0.560547,0.593993,0.276754,1
0.361702,0.549093,0.590886,0.263158,1
0.382979,0.581672,0.604609,0.264912,1
0.404255,0.587623,0.593216,0.336842,1
0.425532,0.559952,0.584671,0.302632,1
0.446809,0.536001,0.584412,0.280702,1
0.468085,0.520232,0.576126,0.300439,1
0.489362,0.507141,0.579234,0.278947,1
0.510638,0.498215,0.566287,0.263158,1
0.531915,0.486165,0.559296,0.26886,1
0.553191,0.482148,0.573019,0.237281,1
0.574468,0.475305,0.576903,0.253509,1
0.595745,0.464891,0.57276,0.245614,1
0.617021,0.456114,0.571724,0.291667,1
0.638298,0.451205,0.557483,0.302632,1
0.659574,0.455073,0.556447,0.350439,1
0.680851,0.460577,0.55334,0.38114,1
0.702128,0.481404,0.581305,0.335965,1
0.723404,0.503719,0.605386,0.336842,1
0.744681,0.573341,0.647074,0.337719,1
0.765957,0.6446,0.669342,0.39693,1
0.787234,0.641178,0.665458,0.325,1
0.808511,0.604582,0.63102,0.38114,1
0.829787,0.580036,0.601761,0.405263,1
0.851064,0.556531,0.562403,0.433333,1
0.87234,0.537191,0.53159,0.472807,1
0.893617,0.499702,0.490678,0.48114,0
0.914894,0.453288,0.455463,0.436842,0
0.93617,0.483487,0.423097,0.639035,1
0.957447,0.488248,0.405748,0.614912,1
0.978723,0.491818,0.501036,0.496491,1
1,0.494496,0.495339,0.498246,1
0,0.485272,0.471776,0.54693,1
0.021277,0.4759,0.444847,0.562281,1
0.042553,0.445552,0.503107,0.461842,1
0.06383,0.401666,0.486277,0.491228,1
0.085106,0.347664,0.440963,0.534649,1
0.106383,0.29277,0.392802,0.617544,0
0.12766,0.245611,0.351631,0.679825,0
0.148936,0.211247,0.325997,0.711404,0
0.170213,0.199345,0.307095,0.728509,0
0.191489,0.197114,0.295961,0.762281,0
0.212766,0.226421,0.307354,0.765351,0
0.234043,0.281315,0.330399,0.573246,0
0.255319,0.387087,0.37623,0.546491,1
0.276596,0.49643,0.480062,0.505702,1
0.297872,0.503273,0.525634,0.34693,1
0.319149,0.562184,0.590109,0.313596,1
0.340426,0.571407,0.620145,0.291228,1
0.361702,0.559357,0.624288,0.244298,1
0.382979,0.583755,0.628172,0.30614,1
0.404255,0.592234,0.620663,0.288596,1
0.425532,0.571854,0.603573,0.334211,1
0.446809,0.549985,0.599171,0.352632,1
0.468085,0.535555,0.587778,0.37193,1
0.489362,0.524398,0.589591,0.404386,1
0.510638,0.516513,0.574314,0.437281,1
0.531915,0.507736,0.573019,0.454386,1
0.553191,0.498512,0.585189,0.469298,1
0.574468,0.47947,0.583894,0.462281,1
0.595745,0.469503,0.573537,0.464035,0
0.617021,0.470544,0.563439,0.485965,0
0.638298,0.46742,0.551528,0.489912,0
0.659574,0.47352,0.540911,0.48114,0
0.680851,0.484677,0.540911,0.524123,0
0.702128,0.501785,0.553599,0.517105,0
0.723404,0.52053,0.578975,0.583333,0
0.744681,0.587771,0.614966,0.485965,1
0.765957,0.63017,0.662351,0.408333,1
0.787234,0.638649,0.683843,0.443421,1
0.808511,0.605177,0.650699,0.5,1
0.829787,0.562928,0.624547,0.475877,0
0.851064,0.55906,0.599948,0.519737,0
0.87234,0.53734,0.567064,0.493421,0
0.893617,0.493306,0.533143,0.464912,0
0.914894,0.449569,0.492491,0.400877,0
0.93617,0.484677,0.463231,0.664474,0
0.957447,0.493752,0.442517,0.682018,0
0.978723,0.49881,0.542206,0.605702,1
1,0.501041,0.527447,0.64386,0
0,0.484975,0.51217,0.646053,0
0.021277,0.469354,0.479803,0.608772,0
0.042553,0.438262,0.531849,0.532456,1
0.06383,0.386492,0.503884,0.549561,0
0.085106,0.331747,0.464267,0.59386,0
0.106383,0.276257,0.419213,0.65614,0
0.12766,0.229694,0.373641,0.659211,0
0.148936,0.194585,0.342828,0.648246,0
0.170213,0.179708,0.314345,0.736842,0
0.191489,0.179262,0.313827,0.760965,0
0.212766,0.208866,0.324443,0.722807,0
0.234043,0.256174,0.357069,0.642105,0
0.255319,0.364624,0.437338,0.585088,0
0.276596,0.462957,0.526411,0.483772,0
0.297872,0.47114,0.554894,0.401316,0
0.319149,0.523802,0.630243,0.421053,1
0.340426,0.533175,0.659762,0.453947,1
0.361702,0.523356,0.652253,0.455702,1
0.382979,0.559655,0.647074,0.474123,1
0.404255,0.566944,0.630761,0.491228,1
0.425532,0.54939,0.602279,0.516228,1
0.446809,0.532133,0.593216,0.536404,1
0.468085,0.520678,0.584153,0.569737,1
0.489362,0.512496,0.566805,0.563158,0
0.510638,0.503868,0.546608,0.472368,0
0.531915,0.499405,0.536251,0.419737,0
0.553191,0.49033,0.547903,0.370175,0
0.574468,0.481553,0.543242,0.387281,0
0.595745,0.477685,0.538581,0.380263,0
0.617021,0.465338,0.52667,0.363596,0
0.638298,0.453436,0.515018,0.350439,0
0.659574,0.465933,0.507509,0.390789,0
0.680851,0.47709,0.510098,0.419737,0
0.702128,0.489735,0.515536,0.425,0
0.723404,0.515769,0.540394,0.423246,0
0.744681,0.579143,0.569912,0.472807,1
0.765957,0.630616,0.621181,0.535088,1
0.787234,0.628236,0.651994,0.469298,1
0.808511,0.587474,0.633092,0.474123,1
0.829787,0.556382,0.595028,0.451754,1
0.851064,0.539869,0.551787,0.475,0
0.87234,0.519935,0.541947,0.454825,0
0.893617,0.478578,0.503366,0.441228,0
0.914894,0.436626,0.464526,0.348684,0
0.93617,0.469354,0.440704,0.594737,1
0.957447,0.483785,0.41999,0.566667,0
0.978723,0.488545,0.522009,0.492105,1
1,0.493157,0.506991,0.637281,1
0,0.47471,0.477214,0.660526,1
0.021277,0.45909,0.453651,0.637719,1
0.042553,0.425617,0.505179,0.578509,1
0.06383,0.37474,0.483687,0.622368,1
0.085106,0.322523,0.432418,0.617544,0
0.106383,0.270604,0.384775,0.647368,0
0.12766,0.226718,0.34231,0.672807,0
0.148936,0.19042,0.31305,0.642982,0
0.170213,0.175394,0.286898,0.732895,0
0.191489,0.178667,0.273433,0.766228,0
0.212766,0.208866,0.289228,0.732895,0
0.234043,0.254686,0.312791,0.71886,0
0.255319,0.363434,0.409632,0.624561,0
0.276596,0.464296,0.486277,0.585965,1
0.297872,0.470693,0.529259,0.514035,0
0.319149,0.530943,0.60202,0.482456,1
0.340426,0.536894,0.639824,0.495614,1
0.361702,0.52767,0.645262,0.483333,1
0.382979,0.565308,0.647333,0.516667,1
0.404255,0.567837,0.638011,0.489035,1
0.425532,0.553704,0.628949,0.510965,1
0.446809,0.534216,0.615743,0.516228,1
0.468085,0.515323,0.608752,0.512719,1
0.489362,0.50848,0.598136,0.516228,1
0.510638,0.495537,0.576903,0.417982,1
0.531915,0.486462,0.560331,0.436842,1
0.553191,0.48438,0.584412,0.400877,1
0.574468,0.474561,0.571466,0.363158,0
0.595745,0.470544,0.566287,0.357018,0
0.617021,0.46028,0.560331,0.334649,0
0.638298,0.452841,0.539099,0.370175,0
0.659574,0.461767,0.535474,0.361404,0
0.680851,0.473817,0.536769,0.407895,0
0.702128,0.494793,0.547385,0.392105,0
0.723404,0.52053,0.567582,0.490351,1
0.744681,0.583904,0.605127,0.515351,1
0.765957,0.610979,0.655878,0.456579,1
0.787234,0.616929,0.661574,0.475439,1
0.808511,0.580184,0.629726,0.502632,1
0.829787,0.552217,0.591403,0.554386,1
0.851064,0.530646,0.571207,0.526316,1
0.87234,0.505356,0.541429,0.452632,0
0.893617,0.463106,0.508545,0.405702,0
0.914894,0.429337,0.468669,0.442544,0
0.93617,0.463255,0.452615,0.627193,1
0.957447,0.477388,0.441999,0.551754,0
0.978723,0.48557,0.535733,0.530263,1
1,0.481553,0.522527,0.680263,1
0,0.466677,0.484982,0.666228,1
0.021277,0.449866,0.443811,0.658333,1
0.042553,0.417733,0.49767,0.596053,1
0.06383,0.360756,0.464008,0.617544,0
0.085106,0.309878,0.411704,0.589912,0
0.106383,0.265248,0.364319,0.635088,0
0.12766,0.221065,0.320041,0.692105,0
0.148936,0.188337,0.294407,0.720614,0
0.170213,0.177477,0.275246,0.764912,0
0.191489,0.172865,0.263853,0.767544,0
0.212766,0.198899,0.283791,0.750439,0
0.234043,0.258405,0.305023,0.680263,0
0.255319,0.352722,0.391248,0.632895,0
0.276596,0.448676,0.465821,0.564912,1
0.297872,0.461321,0.502071,0.466228,0
0.319149,0.524993,0.56318,0.441228,1
0.340426,0.5482,0.596323,0.566228,1
0.361702,0.537489,0.583894,0.570175,1
0.382979,0.576614,0.592439,0.557895,1
0.404255,0.580333,0.572242,0.572368,1
0.425532,0.570068,0.571466,0.577632,1
0.446809,0.554151,0.562144,0.542544,1
0.468085,0.542696,0.565769,0.558772,1
0.489362,0.533918,0.562144,0.602193,1
0.510638,0.530794,0.557224,0.585526,1
0.531915,0.523505,0.547126,0.603947,1
0.553191,0.518001,0.556965,0.544298,1
0.574468,0.511604,0.55101,0.542105,1
0.595745,0.504612,0.54117,0.527193,1
0.617021,0.493157,0.527447,0.531579,1
0.638298,0.497025,0.515795,0.586404,1
0.659574,0.509967,0.506473,0.592105,1
0.680851,0.524249,0.50492,0.577632,1
0.702128,0.544035,0.520456,0.544298,1
0.723404,0.563225,0.540653,0.427193,1
0.744681,0.611128,0.568358,0.467544,1
0.765957,0.622583,0.58985,0.410526,1
0.787234,0.616483,0.577939,0.557895,1
0.808511,0.556084,0.548679,0.526754,0
0.829787,0.534067,0.501813,0.533772,0
0.851064,0.510711,0.479026,0.52807,0
0.87234,0.489586,0.456758,0.537281,0
0.893617,0.459685,0.420766,0.482456,0
0.914894,0.425617,0.388918,0.422807,0
0.93617,0.466825,0.379337,0.612719,1
0.957447,0.485867,0.377007,0.603509,0
0.978723,0.503124,0.494303,0.511404,1
1,0.494347,0.496116,0.589912,1
0,0.47114,0.457794,0.605702,1
0.021277,0.45299,0.419472,0.626754,0
0.042553,0.417138,0.454687,0.540789,1
0.06383,0.358673,0.424909,0.589474,1
0.085106,0.290687,0.3739,0.642544,0
0.106383,0.241,0.329881,0.691667,0
0.12766,0.191312,0.2768,0.682895,0
0.148936,0.158137,0.240549,0.651754,0
0.170213,0.13612,0.207405,0.687719,0
0.191489,0.127194,0.191093,0.710088,0
0.212766,0.13493,0.189539,0.731579,0
0.234043,0.153377,0.189798,0.755702,0
0.255319,0.191312,0.229674,0.727193,0
0.276596,0.235198,0.240808,0.710965,0
0.297872,0.28429,0.252978,0.760965,0
0.319149,0.353169,0.290523,0.785088,1
0.340426,0.408658,0.319524,0.730263,1
0.361702,0.454924,0.36173,0.735526,1
0.382979,0.494496,0.380891,0.775439,1
0.404255,0.507885,0.374676,0.777632,1
0.425532,0.483338,0.374676,0.764912,1
0.446809,0.464594,0.374158,0.775877,1
0.468085,0.447337,0.363024,0.787281,1
0.489362,0.429783,0.366132,0.748684,1
0.510638,0.414758,0.350854,0.765351,1
0.531915,0.400922,0.33972,0.76886,1
0.553191,0.386938,0.347229,0.770614,1
0.574468,0.366706,0.339461,0.787281,1
0.595745,0.353169,0.327809,0.757895,1
0.617021,0.335168,0.305541,0.785088,0
0.638298,0.329813,0.308907,0.78114,1
0.659574,0.330705,0.308389,0.782895,0
0.680851,0.337846,0.307872,0.766228,0
0.702128,0.355698,0.317193,0.714035,0
0.723404,0.375781,0.329881,0.730702,0
0.744681,0.433353,0.363024,0.699561,1
0.765957,0.476941,0.413516,0.671053,1
0.787234,0.486314,0.450026,0.613158,1
0.808511,0.453734,0.438633,0.616667,1
0.829787,0.408956,0.411704,0.625439,1
0.851064,0.383814,0.378819,0.652632,0
0.87234,0.36507,0.366908,0.635088,0
0.893617,0.345433,0.343604,0.670175,0
0.914894,0.326837,0.328068,0.630702,0
0.93617,0.360756,0.322631,0.689035,1
0.957447,0.366111,0.325997,0.612719,0
0.978723,0.372657,0.411704,0.544298,1
1,0.348706,0.404713,0.535526,0
0,0.321184,0.380891,0.542544,0
0.021277,0.28429,0.352408,0.552632,0
0.042553,0.249777,0.404713,0.482018,0
0.06383,0.214519,0.372864,0.556579,0
0.085106,0.176138,0.330399,0.602193,0
0.106383,0.142815,0.279389,0.643421,0
0.12766,0.119607,0.233558,0.641228,0
0.148936,0.097888,0.201709,0.658333,0
0.170213,0.088515,0.1797,0.7,0
0.191489,0.081821,0.150181,0.704386,0
0.212766,0.086581,0.14552,0.735965,0
0.234043,0.102648,0.143708,0.768421,0
0.255319,0.117525,0.149404,0.715351,0
0.276596,0.151294,0.154583,0.756579,0
0.297872,0.177923,0.136458,0.807895,0
0.319149,0.232818,0.169342,0.766667,0
0.340426,0.286819,0.186432,0.795175,0
0.361702,0.324755,0.221129,0.75307,0
0.382979,0.378161,0.250647,0.825,0
0.404255,0.398542,0.257121,0.804825,0
0.425532,0.389319,0.272657,0.808333,0
0.446809,0.376971,0.270067,0.835965,0
0.468085,0.361797,0.283273,0.794737,0
0.489362,0.345433,0.309166,0.774123,1
0.510638,0.335019,0.289228,0.789474,1
0.531915,0.320143,0.27913,0.789912,1
0.553191,0.300208,0.312791,0.757895,1
0.574468,0.282208,0.296996,0.75,1
0.595745,0.261529,0.303729,0.776316,1
0.617021,0.257513,0.296996,0.778947,1
0.638298,0.262571,0.306059,0.814474,1
0.659574,0.264505,0.315898,0.814474,1
0.680851,0.264356,0.31072,0.770614,1
0.702128,0.27953,0.339979,0.771491,1
0.723404,0.291431,0.378042,0.654386,1
0.744681,0.358971,0.397721,0.627193,1
0.765957,0.448825,0.441222,0.552632,1
0.787234,0.466825,0.460901,0.522368,1
0.808511,0.447783,0.441999,0.602632,1
0.829787,0.421898,0.425945,0.615351,1
0.851064,0.400625,0.401088,0.64693,1
0.87234,0.38679,0.390989,0.643421,1
0.893617,0.360012,0.349042,0.645175,0
0.914894,0.335168,0.331693,0.621053,0
0.93617,0.350937,0.319265,0.678947,1
0.957447,0.352722,0.314604,0.611842,0
0.978723,0.355251,0.392284,0.538158,1
1,0.336061,0.396168,0.546053,1
0,0.317763,0.370016,0.533333,0
0.021277,0.290836,0.339461,0.543421,0
0.042553,0.2651,0.39332,0.470175,1
0.06383,0.234157,0.371828,0.549561,0
0.085106,0.203957,0.338426,0.592982,0
0.106383,0.173163,0.295961,0.655702,0
0.12766,0.15055,0.259192,0.677193,0
0.148936,0.13612,0.229674,0.633772,0
0.170213,0.133442,0.204557,0.660088,0
0.191489,0.142815,0.196789,0.709649,0
0.212766,0.181494,0.213361,0.711842,0
0.234043,0.238322,0.248835,0.692105,0
0.255319,0.350937,0.343863,0.604386,1
0.276596,0.445254,0.423615,0.581579,1
0.297872,0.446891,0.466857,0.477193,0
0.319149,0.500446,0.544795,0.419298,1
0.340426,0.518447,0.571207,0.420175,1
0.361702,0.50238,0.580528,0.411842,1
0.382979,0.548795,0.586225,0.412281,1
0.404255,0.558911,0.595287,0.446491,1
0.425532,0.540018,0.598654,0.42193,1
0.446809,0.519786,0.589591,0.451316,1
0.468085,0.507438,0.588555,0.535526,1
0.489362,0.501041,0.575608,0.445614,1
0.510638,0.494793,0.571207,0.467105,1
0.531915,0.489884,0.576385,0.457895,1
0.553191,0.487057,0.59477,0.405702,1
0.574468,0.483041,0.590886,0.444298,1
0.595745,0.483785,0.587519,0.44693,1
0.617021,0.480065,0.581046,0.44386,1
0.638298,0.47471,0.567323,0.443421,1
0.659574,0.484528,0.560073,0.478947,1
0.680851,0.497173,0.558778,0.482895,1
0.702128,0.527075,0.560331,0.469737,1
0.723404,0.561589,0.5826,0.400439,1
0.744681,0.621244,0.626618,0.376754,1
0.765957,0.644749,0.663128,0.359649,1
0.787234,0.626897,0.659762,0.419737,1
0.808511,0.58911,0.621699,0.407895,1
0.829787,0.55177,0.596064,0.366228,1
0.851064,0.526034,0.568099,0.408772,1
0.87234,0.496132,0.530554,0.409649,0
0.893617,0.459238,0.501813,0.345614,0
0.914894,0.418328,0.474625,0.293421,0
0.93617,0.458494,0.442776,0.455263,0
0.957447,0.475156,0.414811,0.474123,0
0.978723,0.483785,0.515018,0.405263,1
1,0.477388,0.508804,0.488596,1
0,0.470098,0.486018,0.568421,1
0.021277,0.450461,0.457535,0.58114,1
0.042553,0.421154,0.513465,0.507018,1
0.06383,0.371616,0.4855,0.588596,1
0.085106,0.313746,0.445365,0.597368,0
0.106383,0.264951,0.393578,0.608333,0
0.12766,0.218239,0.355515,0.691667,0
0.148936,0.193246,0.329622,0.695614,0
0.170213,0.178072,0.309684,0.711842,0
0.191489,0.183576,0.285603,0.732895,0
0.212766,0.205594,0.30088,0.723246,0
0.234043,0.260339,0.329622,0.642982,0
0.255319,0.366706,0.413516,0.489474,0
0.276596,0.460875,0.487312,0.451316,0
0.297872,0.465784,0.533143,0.304825,0
0.319149,0.521868,0.60927,0.362719,1
0.340426,0.536299,0.66753,0.283772,1
0.361702,0.534365,0.678923,0.225877,1
0.382979,0.570366,0.694459,0.249561,1
0.404255,0.574978,0.695495,0.268421,1
0.425532,0.561589,0.693682,0.167105,1
0.446809,0.541654,0.687727,0.190789,1
0.468085,0.53258,0.691869,0.211404,1
0.489362,0.52886,0.698602,0.199123,1
0.510638,0.519637,0.698343,0.192544,1
0.531915,0.512348,0.697048,0.207018,1
